Id,Label,Family,sourceTaxonName,targetTaxonFamilyName
124,Hyla squirella,Hylidae,,3.0
125,Ictinia mississippiensis,Accipitridae,,2.0
126,Isthmiophora hortensis,Echinostomatidae,,4.0
127,Ixodes affinis,Ixodidae,,16.0
128,Ixodes banksi,Ixodidae,,4.0
129,Ixodes cookei,Ixodidae,,12.0
130,Ixodes diversifossus,Ixodidae,,5.0
131,Ixodes kingi,Ixodidae,,9.0
132,Ixodes ovatus,Ixodidae,,6.0
133,Ixodes persulcatus,Ixodidae,,6.0
134,Ixodes ricinus,Ixodidae,,44.0
135,Ixodes scapularis,Ixodidae,,22.0
136,Ixodes sculptus,Ixodidae,,6.0
137,Ixodes tanuki,Ixodidae,,2.0
138,Ixodes texanus,Ixodidae,,8.0
139,Lagochilascaris major,Ascaridae,,8.0
140,Lagochilascaris procyonis,Ascarididae,,2.0
141,Lampropeltis triangulum,Colubridae,,2.0
142,Larus californicus,Laridae,,32.0
143,Lepomis macrochirus,Centrarchidae,,5.0
144,Leptospira canicola,Leptospiraceae,,2.0
145,Leptospira icterohaemorrhagiae,Leptospiraceae,,3.0
146,Leptospira interrogans,Leptospiraceae,,67.0
147,Leucochloridiomorpha constantiae,Leucochloridiomorphidae,,5.0
148,Listeria monocytogenes,Listeriaceae,,48.0
149,Macracanthorhynchus ingens,Oligacanthorhynchidae,,44.0
150,Macroorchis spinulosus,Nanophyetidae,,2.0
151,Mansonella llewellyni,Onchocercidae,,2.0
152,Maritreminoides nettae,Microphallidae,,2.0
153,Martes pennanti,Mustelidae,,1.0
154,Megaceryle alcyon,Alcedinidae,,16.0
155,Megascops asio,Strigidae,,59.0
156,Megascops kennicottii,Strigidae,,14.0
157,Mesocestoides corti,Mesocestoididae,,4.0
158,Mesocestoides lineatus,Mesocestoididae,,42.0
159,Mesostephanus appendiculatoides,Cyathocotylidae,,45.0
160,Mesostephanus appendiculatus,Cyathocotylidae,,39.0
161,Metagonimoides oregonensis,Heterophyidae,,3.0
162,Metagonimus takahashii,Heterophyidae,,12.0
163,Metagonimus yokogawai,Heterophyidae,,53.0
164,Metorchis complexus,Opisthorchiidae,,4.0
165,Metorchis conjunctus,Opisthorchiidae,,9.0
166,Microphallus papillorobustus,Microphallidae,,5.0
167,Microphallus similis,Microphallidae,,4.0
168,Microphallus turgidus,Microphallidae,,9.0
169,Molineus barbatus,Molineidae,,16.0
170,Molineus elegans,Molineidae,,11.0
171,Molineus felineus,Molineidae,,2.0
172,Molineus legerae,Molineidae,,5.0
173,Mycobacterium avium,Mycobacteriaceae,,21.0
174,Mycobacterium bovis,Mycobacteriaceae,,48.0
175,Mycobacterium fortuitum,Mycobacteriaceae,,11.0
176,Mycteria americana,Ciconiidae,,39.0
177,Neospora caninum,Sarcocystidae,,57.0
178,Nerocila californica,Cymothoidae,,3.0
179,Ocypode quadrata,Ocypodidae,,2.0
180,Oligacanthorhynchus tumidus,Oligacanthorhynchidae,,3.0
181,Ondatra zibethicus,Cricetidae,,1.0
182,Oochoristica procyonis,Anoplocephalidae,,2.0
183,Orchopeas howardi,Ceratophyllidae,,18.0
184,Ornithonyssus bacoti,Macronyssidae,,9.0
185,Orthopoxvirus,Poxviridae,,39.0
186,Pachygrapsus crassipes,Grapsidae,,43.0
187,Pachysentis canicola,Oligacanthorhynchidae,,7.0
188,Pandion haliaetus,Pandionidae,,37.0
189,Paragonimus kellicotti,Paragonimidae,,15.0
190,Paragonimus rudis,Paragonimidae,,5.0
191,Parallelorchis diglossus,Diplostomatidae,,2.0
192,Parametorchis complexus,Opisthorchiidae,,4.0
193,Parorchis acanthus,Philophthalmidae,,71.0
194,Parvovirus,Parvoviridae,,4.0
195,Passer domesticus,Passeridae,,16.0
196,Pearsonema plica,Capillariidae,,19.0
197,Pharyngostomoides adenocephala,Diplostomatidae,,2.0
198,Pharyngostomoides ovalis,Diplostomatidae,,2.0
199,Pharyngostomoides procyonis,Diplostomatidae,,3.0
200,Phocitremoides ovale,Heterophyidae,,74.0
201,Physaloptera maxillaris,Physalopteridae,,15.0
202,Physaloptera rara,Physalopteridae,,32.0
203,Physaloptera torquata,Physalopteridae,,4.0
204,Placoconus lotoris,Ancylostomatidae,,9.0
205,Plagiorchis muris,Plagiorchiidae,,9.0
206,Plagiorchis vespertilionis,Plagiorchiidae,,7.0
207,Plagiorhynchus cylindraceus,Plagiorhynchidae,,51.0
208,Plagiorhynchus ogatai,Plagiorhynchidae,,2.0
209,Plestiodon fasciatus,Scincidae,,1.0
210,Plusaetis dolens,Ceratophyllidae,,17.0
211,Podilymbus podiceps,Podicipedidae,,28.0
212,Porrocaecum decipiens,Toxocaridae,,9.0
213,Porrorchis oti,Plagiorhynchidae,,2.0
214,Portunion conformis,Entoniscidae,,2.0
215,Pricetrema zolophi,Heterophyidae,,3.0
216,Probolocoryphe uca,Microphallidae,,34.0
217,Procyon lotor,Procyonidae,,160.0
218,Procyonostrongylus muelleri,Metastrongylidae,,2.0
219,Procyotrema marsupiformis,Diplostomatidae,,2.0
220,Profilicollis botulus,Polymorphidae,,8.0
221,Prosthodendrium naviculum,Lecithodendriidae,,4.0
222,Prunus ilicifolia,Rosaceae,,9.0
223,Pseudomonas aeruginosa,Pseudomonadaceae,,106.0
224,Pulex simulans,Pulicidae,,14.0
225,Pygidiopsoides spindalis,Heterophyidae,,73.0
226,Rabies virus,Rhabdoviridae,,114.0
227,Raccoon-associated polyomavirus 2,Polyomaviridae,,2.0
228,Raccoonpox virus,Poxviridae,,2.0
229,Rhigonema infecta,Rhigonematidae,,2.0
230,Ribeiroia ondatrae,Psilostomatidae,,36.0
231,Rynchops niger,Laridae,,20.0
232,Salmonella enterica,Enterobacteriaceae,,48.0
233,Sarcocystis kirkpatricki,Sarcocystidae,,2.0
234,Sarcocystis neurona,Sarcocystidae,,20.0
235,Sigmodon hispidus,Muridae,,2.0
236,Southwellina hispida,Polymorphidae,,78.0
237,Sphaerirostris lanceoides,Centrorhynchidae,,3.0
238,Sphaerirostris picae,Centrorhynchidae,,14.0
239,Spirocamallanus pereirai,Camallanidae,,19.0
240,Spirometra mansonoides,Diphyllobothriidae,,47.0
241,Stachiella octomaculatus,Trichodectidae,,6.0
242,Staphylococcus aureus,Staphylococcaceae,,57.0
243,Staphylococcus intermedius,Staphylococcaceae,,7.0
244,Stephanoprora spinosa,Echinostomatidae,,2.0
245,Stictodora hancocki,Heterophyidae,,78.0
246,Strix varia,Strigidae,,60.0
247,Strongyloides procyonis,Strongyloididae,,4.0
248,Synhimantus longigutturatus,Acuariidae,,3.0
249,Taenia hydatigena,Taeniidae,,82.0
250,Taenia pisiformis,Taeniidae,,57.0
251,Taenia taeniaeformis,Taeniidae,,70.0
252,Thamnophis sirtalis,Colubridae,,2.0
253,Toxascaris leonina,Ascarididae,,60.0
254,Toxascaris procyonis,Ascarididae,,2.0
255,Toxoplasma gondii,Sarcocystidae,,179.0
256,Trichinella pseudospiralis,Trichinellidae,,8.0
257,Trichinella spiralis,Trichinellidae,,67.0
258,Troglotrema mustelae,Troglotrematidae,,3.0
259,Trypanosoma cruzi,Trypanosomatidae,,120.0
260,Uncinaria lotoris,Ancylostomatidae,,2.0
261,Vulpes vulpes,Canidae,,80.0
262,Wardius zibethicus,Paramphistomatidae,,3.0
263,Zenaida asiatica,Columbidae,,43.0
264,Abramis brama,Cyprinidae,3.0,
265,Abrocoma bennettii,Abrocomidae,1.0,
266,Abrothrix longipilis,Cricetidae,1.0,
267,Abrothrix olivaceus,Cricetidae,1.0,
268,Abylopsis eschscholtzi,Abylidae,1.0,
269,Abylopsis tetragona,Abylidae,1.0,
270,Acanthamoeba castellanii,Acanthamoebidae,1.0,
271,Acantharchus pomotis,Centrarchidae,1.0,
272,Acanthocyclops robustus,Cyclopidae,2.0,
273,Acanthocyclops vernalis,Cyclopidae,2.0,
274,Acanthogobius flavimanus,Gobiidae,5.0,
275,Accipiter cooperii,Accipitridae,4.0,
276,Accipiter gentilis,Accipitridae,2.0,
277,Accipiter striatus,Accipitridae,1.0,
278,Achaea janata,Erebidae,1.0,
279,Achatina fulica,Achatinidae,2.0,
280,Achnatherum hymenoides,Poaceae,1.0,
281,Acinonyx jubatus,Felidae,5.0,
282,Acipenser persicus,Acipenseridae,1.0,
283,Acipenser ruthenus,Acipenseridae,1.0,
284,Acipenser sturio,Acipenseridae,1.0,
285,Acmispon humistratus,Fabaceae,1.0,
286,Acorus calamus,Acoraceae,1.0,
287,Acridotheres tristis,Sturnidae,1.0,
288,Acrocodia indica,Tapiridae,1.0,
289,Acrocomia aculeata,Arecaceae,1.0,
290,Acrossus luridus,Aphodiidae,2.0,
291,Acteocina canaliculata,Cylichnidae,1.0,
292,Acteocina inculta,Cylichnidae,5.0,
293,Actitis macularius,Scolopacidae,5.0,
294,Aechmophorus occidentalis,Podicipedidae,2.0,
295,Aedes aegypti,Culicidae,2.0,
296,Aedes taeniorhynchus,Culicidae,4.0,
297,Aegolius acadicus,Strigidae,2.0,
298,Aepyceros melampus,Bovidae,2.0,
299,Aequorea macrodactyla,Aequoreidae,1.0,
300,Aethia cristatella,Alcidae,1.0,
301,Aethia psittacula,Alcidae,1.0,
302,Aethia pusilla,Alcidae,1.0,
303,Agelaius phoeniceus,Icteridae,10.0,
304,Agkistrodon contortrix,Viperidae,1.0,
305,Agkistrodon piscivorus,Viperidae,5.0,
306,Aglaura hemistoma,Rhopalonematidae,1.0,
307,Ailuropoda melanoleuca,Ursidae,3.0,
308,Ailurus fulgens,Ailuridae,6.0,
309,Aix sponsa,Anatidae,8.0,
310,Akodon olivaceus,Muridae,1.0,
311,Alboglossiphonia heteroclita,Glossiphoniidae,1.0,
312,Alburnoides bipunctatus,Cyprinidae,2.0,
313,Alburnus alburnus,Cyprinidae,1.0,
314,Alburnus chalcoides,Cyprinidae,2.0,
315,Alcedo atthis,Alcedinidae,2.0,
316,Alces alces,Cervidae,13.0,
317,Alces americanus,Cervidae,2.0,
318,Alectoris chukar,Phasianidae,2.0,
319,Alitta virens,Nereididae,1.0,
320,Alligator mississippiensis,Alligatoridae,3.0,
321,Alligator mississippiensis,Crocodylidae,4.0,
322,Alligator sinensis,Crocodylidae,1.0,
323,Allium cepa,Amaryllidaceae,1.0,
324,Allium sativum,Amaryllidaceae,1.0,
325,Aloe vera,Xanthorrhoeaceae,1.0,
326,Alosa aestivalis,Clupeidae,1.0,
327,Alosa pseudoharengus,Clupeidae,1.0,
328,Alouatta caraya,Cebidae,3.0,
329,Alouatta palliata,Cebidae,2.0,
330,Alouatta pigra,Cebidae,3.0,
331,Alouatta seniculus,Cebidae,3.0,
332,Alsophis portoricensis,Colubridae,1.0,
333,Amaranthus albus,Amaranthaceae,1.0,
334,Amazona vittata,Psittacidae,1.0,
335,Ambloplites rupestris,Centrarchidae,2.0,
336,Amblyomma americanum,Ixodidae,3.0,
337,Amblyomma parvum,Ixodidae,1.0,
338,Amblysomus hottentotus,Chrysochloridae,1.0,
339,Ambrosia artemisiifolia,Asteraceae,1.0,
340,Ambystoma annulatum,Ambystomatidae,2.0,
341,Ambystoma tigrinum,Ambystomatidae,3.0,
342,Ameiurus catus,Ictaluridae,2.0,
343,Ameiurus melas,Ictaluridae,4.0,
344,Ameiurus natalis,Ictaluridae,4.0,
345,Ameiurus nebulosus,Ictaluridae,5.0,
346,Amelanchier lamarckii,Rosaceae,1.0,
347,Amia calva,Amiidae,6.0,
348,Ammannia coccinea,Lythraceae,1.0,
349,Ammodytes hexapterus,Ammodytidae,1.0,
350,Ammospermophilus interpres,Sciuridae,1.0,
351,Ammospermophilus leucurus,Sciuridae,3.0,
352,Ammotragus lervia,Bovidae,1.0,
353,Amphispiza bilineata,Emberizidae,1.0,
354,Anabas testudineus,Anabantidae,2.0,
355,Anas acuta,Anatidae,6.0,
356,Anas americana,Anatidae,3.0,
357,Anas clypeata,Anatidae,1.0,
358,Anas crecca,Anatidae,3.0,
359,Anas cyanoptera,Anatidae,1.0,
360,Anas discors,Anatidae,1.0,
361,Anas fulvigula,Anatidae,1.0,
362,Anas platyrhynchos,Anatidae,8.0,
363,Anas poecilorhyncha,Anatidae,1.0,
364,Anas rubripes,Anatidae,3.0,
365,Anas strepera,Anatidae,4.0,
366,Anax junius,Aeshnidae,6.0,
367,Anaxyrus americanus,Bufonidae,5.0,
368,Anaxyrus boreas,Bufonidae,8.0,
369,Anchoa mitchilli,Engraulidae,1.0,
370,Andrena cressonii,Andrenidae,1.0,
371,Andropogon gerardii,Poaceae,1.0,
372,Anguilla japonica,Anguillidae,2.0,
373,Anguilla rostrata,Anguillidae,2.0,
374,Anhinga anhinga,Anhingidae,4.0,
375,Anisogammarus confervicolus,Anisogammaridae,4.0,
376,Anniella stebbinsi,Anniellidae,2.0,
377,Anolis carolinensis,Polychrotidae,1.0,
378,Anolis cuvieri,Polychrotidae,1.0,
379,Anolis evermanni,Polychrotidae,1.0,
380,Anolis gundlachi,Polychrotidae,1.0,
381,Anolis stratulus,Polychrotidae,1.0,
382,Anomalocardia puella,Veneridae,1.0,
383,Anopheles stephensi,Culicidae,1.0,
384,Anoplarchus purpurescens,Stichaeidae,1.0,
385,Anser anser,Anatidae,1.0,
386,Antechinus flavipes,Dasyuridae,1.0,
387,Antechinus stuartii,Dasyuridae,1.0,
388,Antilocapra americana,Antilocapridae,3.0,
389,Antilope cervicapra,Bovidae,1.0,
390,Antrozous pallidus,Vespertilionidae,2.0,
391,Aotus azarae,Aotidae,3.0,
392,Aotus trivirgatus,Cebidae,4.0,
393,Apalone ferox,Trionychidae,1.0,
394,Aphaenogaster subterranea,Formicidae,1.0,
395,Aphelocoma californica,Corvidae,2.0,
396,Aphelocoma coerulescens,Corvidae,1.0,
397,Aphodius coloradensis,Scarabaeidae,2.0,
398,Aphodius fimetarius,Aphodiidae,2.0,
399,Aphodius lividus,Aphodiidae,1.0,
400,Aphodius rectus,Scarabaeidae,2.0,
401,Apis cerana,Apidae,1.0,
402,Apis dorsata,Apidae,1.0,
403,Aplodontia rufa,Aplodontiidae,1.0,
404,Apodemus agrarius,Muridae,6.0,
405,Apodemus argenteus,Muridae,3.0,
406,Apodemus draco,Muridae,1.0,
407,Apodemus flavicollis,Muridae,8.0,
408,Apodemus latronum,Muridae,1.0,
409,Apodemus peninsulae,Muridae,2.0,
410,Apodemus speciosus,Muridae,4.0,
411,Apodemus sylvaticus,Muridae,9.0,
412,Apodemus uralensis,Muridae,2.0,
413,Aporrectodea caliginosa,Lumbricidae,2.0,
414,Aquila chrysaetos,Accipitridae,1.0,
415,Arabidopsis thaliana,Brassicaceae,1.0,
416,Arachis hypogaea,Fabaceae,1.0,
417,Arborimus longicaudus,Muridae,3.0,
418,Archips fumiferana,Tortricidae,1.0,
419,Archoplites interruptus,Centrarchidae,1.0,
420,Arctocephalus australis,Otariidae,1.0,
421,Arctocephalus forsteri,Otariidae,2.0,
422,Arctocephalus gazella,Otariidae,3.0,
423,Arcuatula papyria,Mytilidae,1.0,
424,Ardea alba,Ardeidae,16.0,
425,Ardea cinerea,Ardeidae,4.0,
426,Ardea herodias,Ardeidae,16.0,
427,Arenaeus cribrarius,Portunidae,1.0,
428,Arenaria interpres,Scolopacidae,3.0,
429,Argas persicus,Argasidae,1.0,
430,Argemone mexicana,Papaveraceae,1.0,
